Comment,Designator,Footprint,LCSC Part #
2.4GHz,AE1,RF_Antenna:Johanson_2450AT18x100,
2450BM15A0015,B1,ciu:Johanson_2450BM15A0015,
100nF,"C1,C2,C3",Capacitor_SMD:C_0402_1005Metric,
1uF,"C4,C5,C6",Capacitor_SMD:C_0402_1005Metric,
12pF,"C7,C8",Capacitor_SMD:C_0402_1005Metric,
1pF,C9,Capacitor_SMD:C_0402_1005Metric,
1.5pF,C10,Capacitor_SMD:C_0402_1005Metric,
22pF,"C11,C12",Capacitor_SMD:C_0402_1005Metric,
600R,FB1,Inductor_SMD:L_0402_1005Metric,
Conn_01x09,J1,Connector_PinHeader_2.54mm:PinHeader_1x09_P2.54mm_Vertical,
3.9nH,"L1,L2",Inductor_SMD:L_0402_1005Metric,
100k,R1,Resistor_SMD:R_0402_1005Metric,
TestPoint,"TP1,TP2,TP3,TP4,TP5",TestPoint:TestPoint_Keystone_5015_Micro_Mini,
AT86RF233-ZU,U1,Package_DFN_QFN:QFN-32-1EP_5x5mm_P0.5mm_EP3.3x3.3mm,
16MHz,Y1,Crystal:Crystal_SMD_Abracon_ABM8G-4Pin_3.2x2.5mm,
